id,메뉴,아이디,text,양,배달
1,굽고뒤집고,jss****,모듬전을 시켰는데 양도 많고 맛났어요 멸치국수도 기대하지 않았는데 맛이 끝내줬어요,5.24.수,1
2,굽고뒤집고,라랑나,사장님 친절하시고 모듬전 괜찮아요 전먹고싶을때 방문할께요,6.15.목,1
3,굽고뒤집고,13월의 하루,모듬전10종류 골고루 먓볼수있어요 막걸리먹기좋은 분위기네요,6.15.목,1
4,굽고뒤집고,한여자가있어,녹두전을 주문했는데 속이 하나도 안익혀나왔어요 손안댄거는 다시 구워달라고 요청했는데 사과한마디 안하시더라구요~~,7.22.토,1
5,굽고뒤집고,구자,모듬전 양이 많고 맛있어요 비오는날은 전이 생각나는데 집근처 맛있는 전집이 생겨서 너무 좋아요 국수도 먹었는데 급하게 먹느라 사진을 못찍었네요,5.24.수,1
6,굽고뒤집고,cam****,친구들이랑 국수 한접시 하려고 들렀다가 너무 맛있어서 전에다가 소주까지 한잔했네요 ㅋㅋㅋ 음식도 빨리 나오구 국물도 진하게 얼큰해서 너무나도 잘 먹었습니다 집 왔는데도 생각나더라구요 앞으로 자주 가겠습니다 남양주 국수 맛집입니다 진짜 ????????,4.25.화,1
7,굽고뒤집고,nin****,비오는날 전집은 국룰이죠~ 어린이날이고 연휴라 편한맘으로 한잔할려는데 비도오고해서 막걸리랑 맛갈나는 전 생각에 들어갔는데 배고파서 국수한그릇 뚝딱하고 모듬전시켜서 막걸리먹고 소주.. 하.. 또 과음해버렸네요 ㅋㅋ 사람이 너무많아서 대기해야하는데 마침 아이랑 가족이 먹고 바로 나간다해서 운좋게 겨우자리잡아서 먹었어요. 사장님 모듬전 조기에 끝내버리셨네요. 그후엔 단품으로 김치전하고 더 시켜먹고 얼큰히 취해서 나왔습니다. 담번에 또 갈게요~,5.5.금,1
8,굽고뒤집고,부끄달려,동네 새로 오픈한 곳이라 방문했어요. 멸치국수 국물도 깔끔하고 녹두빈대떡도 먹기 편하게 잘라주셨어요. 급히 먹느라 사진이 없네요. 간장을 따로 끓여서 만드셨다는데 빈대떡이랑 찰떡이네요~ 다음엔 모듬전도 먹어봐야겠어요~,4.17.월,1
9,굽고뒤집고,민트9940,친구들과 오랜만에 만나 우연히 간곳에서 맛집을 찾았습니다 잔치국수 국물이 끝내줘요~ 전이 깨끗하게 아주 맛나요~,5.24.수,1
10,굽고뒤집고,지수연주맘celine,비오는 날 막걸리에 모듬전 최고에요!! 전이 재료가 신선해 보이고 바로바로 부쳐주셔서 맛있어요!! 사장님 사업 번창하시길 빕니다~~,5.2.화,1
