store_id,store_namecol,store_menu,menu_price,store_address,store_x,store_y,store_tell,store_cate1,store_cate2,store_cate3,store_man,store_girl,store_near,store_open,store_info1,store_info2
1,호호미역 경희궁 직영점,조개 미역국,"12,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
2,호호미역 경희궁 직영점,가자미 미역국,"11,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
3,호호미역 경희궁 직영점,차돌박이 미역국,"12,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
4,호호미역 경희궁 직영점,활전복 조개 미역국,"17,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
5,호호미역 경희궁 직영점,활전복 가자미 미역국,"16,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
6,호호미역 경희궁 직영점,활전복 차돌박이 미역국,"17,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
7,호호미역 경희궁 직영점,돈까스 카레라이스,"11,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
8,호호미역 경희궁 직영점,조개 미역국,"12,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
9,호호미역 경희궁 직영점,전복조개 미역국,"17,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
10,호호미역 경희궁 직영점,가자미 미역국,"11,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
11,호호미역 경희궁 직영점,전복가자미 미역국,"16,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
12,호호미역 경희궁 직영점,차돌 미역국,"12,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
13,호호미역 경희궁 직영점,전복차돌 미역국,"17,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
14,호호미역 경희궁 직영점,반계탕 미역국,"12,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
15,호호미역 경희궁 직영점,전복반계탕 미역국,"17,000원",서울 종로구 경희궁길 4,197469.959,452033.9891,02-725-2002,,,,,,광화문역7번 출구에서482m,영업 중20:00에 영업 종료20시 0분에 영업 종료,"주차, 포장",
16,국빈행성,닭볶음탕,"9,000원",서울 종로구 계동길 15,198746.3384,452853.8202,02-3676-2427,,,,,,안국역3번 출구에서141m,영업 종료내일 휴무내일 휴무,,
17,국빈행성,닭곰탕,"9,000원",서울 종로구 계동길 15,198746.3384,452853.8202,02-3676-2427,,,,,,안국역3번 출구에서141m,영업 종료내일 휴무내일 휴무,,
18,국빈행성,닭칼국수,"9,000원",서울 종로구 계동길 15,198746.3384,452853.8202,02-3676-2427,,,,,,안국역3번 출구에서141m,영업 종료내일 휴무내일 휴무,,
19,국빈행성,찹쌀누룽지 백숙,"40,000원",서울 종로구 계동길 15,198746.3384,452853.8202,02-3676-2427,,,,,,안국역3번 출구에서141m,영업 종료내일 휴무내일 휴무,,
20,국빈행성,찜닭,"32,000원",서울 종로구 계동길 15,198746.3384,452853.8202,02-3676-2427,,,,,,안국역3번 출구에서141m,영업 종료내일 휴무내일 휴무,,
21,ERROR,태희보데가,,,,,,,,,,,,,,
22,ERROR,비어,,,,,,,,,,,,,,
23,소시 BEER,감바스,변동,서울 성동구 왕십리로4길 19-1 1층 하늘빌딩,201819.5052,452434.9382,0507-1447-1148,,,,,,뚝섬역7번 출구에서97m,영업 중00:15에 라스트오더0시 15분에 라스트오더,"단체 이용 가능, 예약, 무선 인터넷, 남/녀 화장실 구분","다양한 모든 안주가 맛있는 안주맛집! 연인,친구, 가족,직장동료와도 함께 할 수 있는 분위기 맛집 소시맥분입니다! 탕,볶음요리,치킨,파스..."
24,대학로 쭈왕 쭈꾸미,쭈왕 쭈꾸미2셋트,"29,000원","서울 종로구 대명길 19-6 1층, 2층",199978.5932,453422.6619,0507-1340-9486,,,,,,혜화역4번 출구에서108m,영업 중00:00에 라스트오더0시 0분에 라스트오더,"단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분",대학로 최초 술 마실 수 있는 쭈꾸미집으로써 1 층 30석 2층에는 70여명의 인원을 수용할 수 있 는 넓은장소가 마련되어 있어 단체모임 ...
25,대학로 쭈왕 쭈꾸미,쭈왕쭈꾸미철판,"12,000원","서울 종로구 대명길 19-6 1층, 2층",199978.5932,453422.6619,0507-1340-9486,,,,,,혜화역4번 출구에서108m,영업 중00:00에 라스트오더0시 0분에 라스트오더,"단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분",대학로 최초 술 마실 수 있는 쭈꾸미집으로써 1 층 30석 2층에는 70여명의 인원을 수용할 수 있 는 넓은장소가 마련되어 있어 단체모임 ...
26,대학로 쭈왕 쭈꾸미,왕새우튀김,"15,000원","서울 종로구 대명길 19-6 1층, 2층",199978.5932,453422.6619,0507-1340-9486,,,,,,혜화역4번 출구에서108m,영업 중00:00에 라스트오더0시 0분에 라스트오더,"단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분",대학로 최초 술 마실 수 있는 쭈꾸미집으로써 1 층 30석 2층에는 70여명의 인원을 수용할 수 있 는 넓은장소가 마련되어 있어 단체모임 ...
27,대학로 쭈왕 쭈꾸미,쭈왕어묵탕,"15,000원","서울 종로구 대명길 19-6 1층, 2층",199978.5932,453422.6619,0507-1340-9486,,,,,,혜화역4번 출구에서108m,영업 중00:00에 라스트오더0시 0분에 라스트오더,"단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분",대학로 최초 술 마실 수 있는 쭈꾸미집으로써 1 층 30석 2층에는 70여명의 인원을 수용할 수 있 는 넓은장소가 마련되어 있어 단체모임 ...
28,대학로 쭈왕 쭈꾸미,쭈왕쭈꾸미삼겹,"15,000원","서울 종로구 대명길 19-6 1층, 2층",199978.5932,453422.6619,0507-1340-9486,,,,,,혜화역4번 출구에서108m,영업 중00:00에 라스트오더0시 0분에 라스트오더,"단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분",대학로 최초 술 마실 수 있는 쭈꾸미집으로써 1 층 30석 2층에는 70여명의 인원을 수용할 수 있 는 넓은장소가 마련되어 있어 단체모임 ...
29,대학로 쭈왕 쭈꾸미,쭈왕쭈꾸미새우,"15,000원","서울 종로구 대명길 19-6 1층, 2층",199978.5932,453422.6619,0507-1340-9486,,,,,,혜화역4번 출구에서108m,영업 중00:00에 라스트오더0시 0분에 라스트오더,"단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분",대학로 최초 술 마실 수 있는 쭈꾸미집으로써 1 층 30석 2층에는 70여명의 인원을 수용할 수 있 는 넓은장소가 마련되어 있어 단체모임 ...
30,대학로 쭈왕 쭈꾸미,쭈왕쭈꾸미모듬,"15,000원","서울 종로구 대명길 19-6 1층, 2층",199978.5932,453422.6619,0507-1340-9486,,,,,,혜화역4번 출구에서108m,영업 중00:00에 라스트오더0시 0분에 라스트오더,"단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분",대학로 최초 술 마실 수 있는 쭈꾸미집으로써 1 층 30석 2층에는 70여명의 인원을 수용할 수 있 는 넓은장소가 마련되어 있어 단체모임 ...
31,대학로 쭈왕 쭈꾸미,쭈왕쭈꾸미2세트,"29,000원","서울 종로구 대명길 19-6 1층, 2층",199978.5932,453422.6619,0507-1340-9486,,,,,,혜화역4번 출구에서108m,영업 중00:00에 라스트오더0시 0분에 라스트오더,"단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분",대학로 최초 술 마실 수 있는 쭈꾸미집으로써 1 층 30석 2층에는 70여명의 인원을 수용할 수 있 는 넓은장소가 마련되어 있어 단체모임 ...
32,대학로 쭈왕 쭈꾸미,쭈왕쭈꾸꾸미3세트,"39,000원","서울 종로구 대명길 19-6 1층, 2층",199978.5932,453422.6619,0507-1340-9486,,,,,,혜화역4번 출구에서108m,영업 중00:00에 라스트오더0시 0분에 라스트오더,"단체 이용 가능, 포장, 예약, 무선 인터넷, 남/녀 화장실 구분",대학로 최초 술 마실 수 있는 쭈꾸미집으로써 1 층 30석 2층에는 70여명의 인원을 수용할 수 있 는 넓은장소가 마련되어 있어 단체모임 ...
33,소친친,특제차오판,"13,500원",서울 종로구 대명길 39-9 2층,199909.7966,453367.5337,02-742-8594,,,,,,혜화역4번 출구에서237m,영업 중21:00에 라스트오더21시 0분에 라스트오더,,*별도의 예약없이 워크인만 가능합니다 *최대 이용인원은 6명입니다
34,소친친,깐풍기(소),"16,000원",서울 종로구 대명길 39-9 2층,199909.7966,453367.5337,02-742-8594,,,,,,혜화역4번 출구에서237m,영업 중21:00에 라스트오더21시 0분에 라스트오더,,*별도의 예약없이 워크인만 가능합니다 *최대 이용인원은 6명입니다
35,소친친,산서초꿔바로우(소),"16,000원",서울 종로구 대명길 39-9 2층,199909.7966,453367.5337,02-742-8594,,,,,,혜화역4번 출구에서237m,영업 중21:00에 라스트오더21시 0분에 라스트오더,,*별도의 예약없이 워크인만 가능합니다 *최대 이용인원은 6명입니다
36,소친친,딴딴미엔,"12,800원",서울 종로구 대명길 39-9 2층,199909.7966,453367.5337,02-742-8594,,,,,,혜화역4번 출구에서237m,영업 중21:00에 라스트오더21시 0분에 라스트오더,,*별도의 예약없이 워크인만 가능합니다 *최대 이용인원은 6명입니다
37,소친친,새우탕면,"12,800원",서울 종로구 대명길 39-9 2층,199909.7966,453367.5337,02-742-8594,,,,,,혜화역4번 출구에서237m,영업 중21:00에 라스트오더21시 0분에 라스트오더,,*별도의 예약없이 워크인만 가능합니다 *최대 이용인원은 6명입니다
38,소친친,갈비차오판,"10,500원",서울 종로구 대명길 39-9 2층,199909.7966,453367.5337,02-742-8594,,,,,,혜화역4번 출구에서237m,영업 중21:00에 라스트오더21시 0분에 라스트오더,,*별도의 예약없이 워크인만 가능합니다 *최대 이용인원은 6명입니다
39,ERROR,김가네,,,,,,,,,,,,,,
40,이화종로김밥,맛김밥,"3,500원",서울 종로구 대학로 51,200103.6856,452611.7048,02-745-9292,,,,,,종로5가역3번 출구에서516m,영업 종료10:00에 영업 시작10시 0분에 영업 시작,포장,
41,이화종로김밥,참치김밥,"4,500원",서울 종로구 대학로 51,200103.6856,452611.7048,02-745-9292,,,,,,종로5가역3번 출구에서516m,영업 종료10:00에 영업 시작10시 0분에 영업 시작,포장,
42,이화종로김밥,종로김밥,"5,000원",서울 종로구 대학로 51,200103.6856,452611.7048,02-745-9292,,,,,,종로5가역3번 출구에서516m,영업 종료10:00에 영업 시작10시 0분에 영업 시작,포장,
43,이화종로김밥,소고기김밥,"5,000원",서울 종로구 대학로 51,200103.6856,452611.7048,02-745-9292,,,,,,종로5가역3번 출구에서516m,영업 종료10:00에 영업 시작10시 0분에 영업 시작,포장,
44,이화종로김밥,라볶이,"6,000원",서울 종로구 대학로 51,200103.6856,452611.7048,02-745-9292,,,,,,종로5가역3번 출구에서516m,영업 종료10:00에 영업 시작10시 0분에 영업 시작,포장,
45,이화종로김밥,치즈김밥,"4,500원",서울 종로구 대학로 51,200103.6856,452611.7048,02-745-9292,,,,,,종로5가역3번 출구에서516m,영업 종료10:00에 영업 시작10시 0분에 영업 시작,포장,
46,이화종로김밥,고추김밥,"4,000원",서울 종로구 대학로 51,200103.6856,452611.7048,02-745-9292,,,,,,종로5가역3번 출구에서516m,영업 종료10:00에 영업 시작10시 0분에 영업 시작,포장,
47,이화종로김밥,샐러드김밥,"4,000원",서울 종로구 대학로 51,200103.6856,452611.7048,02-745-9292,,,,,,종로5가역3번 출구에서516m,영업 종료10:00에 영업 시작10시 0분에 영업 시작,포장,
48,이화종로김밥,김치김밥,"4,500원",서울 종로구 대학로 51,200103.6856,452611.7048,02-745-9292,,,,,,종로5가역3번 출구에서516m,영업 종료10:00에 영업 시작10시 0분에 영업 시작,포장,
49,이화종로김밥,참.알김밥,"5,000원",서울 종로구 대학로 51,200103.6856,452611.7048,02-745-9292,,,,,,종로5가역3번 출구에서516m,영업 종료10:00에 영업 시작10시 0분에 영업 시작,포장,
50,국수나무 대학로점,국치정식,"9,400원",서울 종로구 대학로 85,200100.5816,452947.1004,02-742-4252,,,,,,혜화역3번 출구에서278m,영업 중21:00에 영업 종료21시 0분에 영업 종료,"포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분","국수나무 대학로점은 서울대학교 병원에서 5분거리. (혜화역 3번출구에서 홍대. 이화사거리방향 5분거리. 방송통신대학교 정문앞) 한식요리, 면요리,돈가스류,베트남쌀국수,나가사키짬뽕,생면(잔치)국수.떡뽑기. 튀김. 카레. 오무라이스등 다양한 메뉴가 준비되어 있습니다. 모든메뉴가 배달도 포장도 가능하며 든든한 한끼를 지향합니다. 감사합니다"
51,국수나무 대학로점,국만정식.,"7,700원",서울 종로구 대학로 85,200100.5816,452947.1004,02-742-4252,,,,,,혜화역3번 출구에서278m,영업 중21:00에 영업 종료21시 0분에 영업 종료,"포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분","국수나무 대학로점은 서울대학교 병원에서 5분거리. (혜화역 3번출구에서 홍대. 이화사거리방향 5분거리. 방송통신대학교 정문앞) 한식요리, 면요리,돈가스류,베트남쌀국수,나가사키짬뽕,생면(잔치)국수.떡뽑기. 튀김. 카레. 오무라이스등 다양한 메뉴가 준비되어 있습니다. 모든메뉴가 배달도 포장도 가능하며 든든한 한끼를 지향합니다. 감사합니다"
52,국수나무 대학로점,힘찬정식,"11,500원",서울 종로구 대학로 85,200100.5816,452947.1004,02-742-4252,,,,,,혜화역3번 출구에서278m,영업 중21:00에 영업 종료21시 0분에 영업 종료,"포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분","국수나무 대학로점은 서울대학교 병원에서 5분거리. (혜화역 3번출구에서 홍대. 이화사거리방향 5분거리. 방송통신대학교 정문앞) 한식요리, 면요리,돈가스류,베트남쌀국수,나가사키짬뽕,생면(잔치)국수.떡뽑기. 튀김. 카레. 오무라이스등 다양한 메뉴가 준비되어 있습니다. 모든메뉴가 배달도 포장도 가능하며 든든한 한끼를 지향합니다. 감사합니다"
53,국수나무 대학로점,진국정식,"10,500원",서울 종로구 대학로 85,200100.5816,452947.1004,02-742-4252,,,,,,혜화역3번 출구에서278m,영업 중21:00에 영업 종료21시 0분에 영업 종료,"포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분","국수나무 대학로점은 서울대학교 병원에서 5분거리. (혜화역 3번출구에서 홍대. 이화사거리방향 5분거리. 방송통신대학교 정문앞) 한식요리, 면요리,돈가스류,베트남쌀국수,나가사키짬뽕,생면(잔치)국수.떡뽑기. 튀김. 카레. 오무라이스등 다양한 메뉴가 준비되어 있습니다. 모든메뉴가 배달도 포장도 가능하며 든든한 한끼를 지향합니다. 감사합니다"
54,국수나무 대학로점,뜨끈탕면정식,"12,000원",서울 종로구 대학로 85,200100.5816,452947.1004,02-742-4252,,,,,,혜화역3번 출구에서278m,영업 중21:00에 영업 종료21시 0분에 영업 종료,"포장, 배달, 예약, 무선 인터넷, 남/녀 화장실 구분","국수나무 대학로점은 서울대학교 병원에서 5분거리. (혜화역 3번출구에서 홍대. 이화사거리방향 5분거리. 방송통신대학교 정문앞) 한식요리, 면요리,돈가스류,베트남쌀국수,나가사키짬뽕,생면(잔치)국수.떡뽑기. 튀김. 카레. 오무라이스등 다양한 메뉴가 준비되어 있습니다. 모든메뉴가 배달도 포장도 가능하며 든든한 한끼를 지향합니다. 감사합니다"
