store_id,store_namecol,store_menu,menu_price,store_address,store_x,store_y,store_tell,store_cate1,store_cate2,store_cate3,store_man,store_girl,store_near,store_open,store_info1,store_info2
1,우동명가기리야마본진,기리야마 디너코스(room only),"77,000원",서울 강남구 강남대로84길 23 한라클래식 지하1층,196830.5434,451819.6565,0507-1401-0068,,"초밥,  일식,  냉우동,  모밀,  우동집",재방문,49%,51,신분당강남역3번 출구에서217m,영업 종료11:30에 영업 시작11시 30분에 영업 시작,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","일본에서 1등 서기관으로 근무했던 외교관이 오픈한 일식 우동집. 우동도 맛있지만 스시와 뎀푸라, 돈카츠 등도 수준급. 도쿄에서 단골로 다니던 기리야마 우동집의 진한 국물 맛을 잊지 못해 직접 개업을 했다. 일본식 우동 이름이 낯설긴 하지만 메뉴 하단에 음식의 재료, 특징들이 자세하게 적혀있다. 점심에는 간단한 식사 및 직장인들을 위한 셋트메뉴가 주를 이루고, 저녁에는 식사메뉴 뿐 아니라, 술과 곁들일 수 있는 안주류, 사전 예약으로 운영되는 디너코스도 준비되어 있다. 사케소믈리에이기도 한 주인장이 추천하는 합리적인 가격의 사케리스트를 갖추고 있고 2012년 오픈 이래로 하루도 거르지 않고 청소관리하는 생맥주 맛도 일품이다."
2,우동명가기리야마본진,스키야키나베우동,"16,000원",서울 강남구 강남대로84길 23 한라클래식 지하1층,196830.5434,451819.6565,0507-1401-0068,,"초밥,  일식,  냉우동,  모밀,  우동집",재방문,49%,51,신분당강남역3번 출구에서217m,영업 종료11:30에 영업 시작11시 30분에 영업 시작,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","일본에서 1등 서기관으로 근무했던 외교관이 오픈한 일식 우동집. 우동도 맛있지만 스시와 뎀푸라, 돈카츠 등도 수준급. 도쿄에서 단골로 다니던 기리야마 우동집의 진한 국물 맛을 잊지 못해 직접 개업을 했다. 일본식 우동 이름이 낯설긴 하지만 메뉴 하단에 음식의 재료, 특징들이 자세하게 적혀있다. 점심에는 간단한 식사 및 직장인들을 위한 셋트메뉴가 주를 이루고, 저녁에는 식사메뉴 뿐 아니라, 술과 곁들일 수 있는 안주류, 사전 예약으로 운영되는 디너코스도 준비되어 있다. 사케소믈리에이기도 한 주인장이 추천하는 합리적인 가격의 사케리스트를 갖추고 있고 2012년 오픈 이래로 하루도 거르지 않고 청소관리하는 생맥주 맛도 일품이다."
3,우동명가기리야마본진,스시 ? 우동/자루우동 콤보,"22,000원",서울 강남구 강남대로84길 23 한라클래식 지하1층,196830.5434,451819.6565,0507-1401-0068,,"초밥,  일식,  냉우동,  모밀,  우동집",재방문,49%,51,신분당강남역3번 출구에서217m,영업 종료11:30에 영업 시작11시 30분에 영업 시작,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","일본에서 1등 서기관으로 근무했던 외교관이 오픈한 일식 우동집. 우동도 맛있지만 스시와 뎀푸라, 돈카츠 등도 수준급. 도쿄에서 단골로 다니던 기리야마 우동집의 진한 국물 맛을 잊지 못해 직접 개업을 했다. 일본식 우동 이름이 낯설긴 하지만 메뉴 하단에 음식의 재료, 특징들이 자세하게 적혀있다. 점심에는 간단한 식사 및 직장인들을 위한 셋트메뉴가 주를 이루고, 저녁에는 식사메뉴 뿐 아니라, 술과 곁들일 수 있는 안주류, 사전 예약으로 운영되는 디너코스도 준비되어 있다. 사케소믈리에이기도 한 주인장이 추천하는 합리적인 가격의 사케리스트를 갖추고 있고 2012년 오픈 이래로 하루도 거르지 않고 청소관리하는 생맥주 맛도 일품이다."
4,우동명가기리야마본진,뎀푸라 자루우동,"16,000원",서울 강남구 강남대로84길 23 한라클래식 지하1층,196830.5434,451819.6565,0507-1401-0068,,"초밥,  일식,  냉우동,  모밀,  우동집",재방문,49%,51,신분당강남역3번 출구에서217m,영업 종료11:30에 영업 시작11시 30분에 영업 시작,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","일본에서 1등 서기관으로 근무했던 외교관이 오픈한 일식 우동집. 우동도 맛있지만 스시와 뎀푸라, 돈카츠 등도 수준급. 도쿄에서 단골로 다니던 기리야마 우동집의 진한 국물 맛을 잊지 못해 직접 개업을 했다. 일본식 우동 이름이 낯설긴 하지만 메뉴 하단에 음식의 재료, 특징들이 자세하게 적혀있다. 점심에는 간단한 식사 및 직장인들을 위한 셋트메뉴가 주를 이루고, 저녁에는 식사메뉴 뿐 아니라, 술과 곁들일 수 있는 안주류, 사전 예약으로 운영되는 디너코스도 준비되어 있다. 사케소믈리에이기도 한 주인장이 추천하는 합리적인 가격의 사케리스트를 갖추고 있고 2012년 오픈 이래로 하루도 거르지 않고 청소관리하는 생맥주 맛도 일품이다."
5,우동명가기리야마본진,스시 ? 자루우동 콤보,"22,000원",서울 강남구 강남대로84길 23 한라클래식 지하1층,196830.5434,451819.6565,0507-1401-0068,,"초밥,  일식,  냉우동,  모밀,  우동집",재방문,49%,51,신분당강남역3번 출구에서217m,영업 종료11:30에 영업 시작11시 30분에 영업 시작,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","일본에서 1등 서기관으로 근무했던 외교관이 오픈한 일식 우동집. 우동도 맛있지만 스시와 뎀푸라, 돈카츠 등도 수준급. 도쿄에서 단골로 다니던 기리야마 우동집의 진한 국물 맛을 잊지 못해 직접 개업을 했다. 일본식 우동 이름이 낯설긴 하지만 메뉴 하단에 음식의 재료, 특징들이 자세하게 적혀있다. 점심에는 간단한 식사 및 직장인들을 위한 셋트메뉴가 주를 이루고, 저녁에는 식사메뉴 뿐 아니라, 술과 곁들일 수 있는 안주류, 사전 예약으로 운영되는 디너코스도 준비되어 있다. 사케소믈리에이기도 한 주인장이 추천하는 합리적인 가격의 사케리스트를 갖추고 있고 2012년 오픈 이래로 하루도 거르지 않고 청소관리하는 생맥주 맛도 일품이다."
6,우동명가기리야마본진,미소돈카츠 하프우동,"22,000원",서울 강남구 강남대로84길 23 한라클래식 지하1층,196830.5434,451819.6565,0507-1401-0068,,"초밥,  일식,  냉우동,  모밀,  우동집",재방문,49%,51,신분당강남역3번 출구에서217m,영업 종료11:30에 영업 시작11시 30분에 영업 시작,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","일본에서 1등 서기관으로 근무했던 외교관이 오픈한 일식 우동집. 우동도 맛있지만 스시와 뎀푸라, 돈카츠 등도 수준급. 도쿄에서 단골로 다니던 기리야마 우동집의 진한 국물 맛을 잊지 못해 직접 개업을 했다. 일본식 우동 이름이 낯설긴 하지만 메뉴 하단에 음식의 재료, 특징들이 자세하게 적혀있다. 점심에는 간단한 식사 및 직장인들을 위한 셋트메뉴가 주를 이루고, 저녁에는 식사메뉴 뿐 아니라, 술과 곁들일 수 있는 안주류, 사전 예약으로 운영되는 디너코스도 준비되어 있다. 사케소믈리에이기도 한 주인장이 추천하는 합리적인 가격의 사케리스트를 갖추고 있고 2012년 오픈 이래로 하루도 거르지 않고 청소관리하는 생맥주 맛도 일품이다."
7,우동명가기리야마본진,스시스키야키나베우동콤보,"26,000원",서울 강남구 강남대로84길 23 한라클래식 지하1층,196830.5434,451819.6565,0507-1401-0068,,"초밥,  일식,  냉우동,  모밀,  우동집",재방문,49%,51,신분당강남역3번 출구에서217m,영업 종료11:30에 영업 시작11시 30분에 영업 시작,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","일본에서 1등 서기관으로 근무했던 외교관이 오픈한 일식 우동집. 우동도 맛있지만 스시와 뎀푸라, 돈카츠 등도 수준급. 도쿄에서 단골로 다니던 기리야마 우동집의 진한 국물 맛을 잊지 못해 직접 개업을 했다. 일본식 우동 이름이 낯설긴 하지만 메뉴 하단에 음식의 재료, 특징들이 자세하게 적혀있다. 점심에는 간단한 식사 및 직장인들을 위한 셋트메뉴가 주를 이루고, 저녁에는 식사메뉴 뿐 아니라, 술과 곁들일 수 있는 안주류, 사전 예약으로 운영되는 디너코스도 준비되어 있다. 사케소믈리에이기도 한 주인장이 추천하는 합리적인 가격의 사케리스트를 갖추고 있고 2012년 오픈 이래로 하루도 거르지 않고 청소관리하는 생맥주 맛도 일품이다."
8,우동명가기리야마본진,스시 .냉메밀소면 콤보,"22,000원",서울 강남구 강남대로84길 23 한라클래식 지하1층,196830.5434,451819.6565,0507-1401-0068,,"초밥,  일식,  냉우동,  모밀,  우동집",재방문,49%,51,신분당강남역3번 출구에서217m,영업 종료11:30에 영업 시작11시 30분에 영업 시작,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","일본에서 1등 서기관으로 근무했던 외교관이 오픈한 일식 우동집. 우동도 맛있지만 스시와 뎀푸라, 돈카츠 등도 수준급. 도쿄에서 단골로 다니던 기리야마 우동집의 진한 국물 맛을 잊지 못해 직접 개업을 했다. 일본식 우동 이름이 낯설긴 하지만 메뉴 하단에 음식의 재료, 특징들이 자세하게 적혀있다. 점심에는 간단한 식사 및 직장인들을 위한 셋트메뉴가 주를 이루고, 저녁에는 식사메뉴 뿐 아니라, 술과 곁들일 수 있는 안주류, 사전 예약으로 운영되는 디너코스도 준비되어 있다. 사케소믈리에이기도 한 주인장이 추천하는 합리적인 가격의 사케리스트를 갖추고 있고 2012년 오픈 이래로 하루도 거르지 않고 청소관리하는 생맥주 맛도 일품이다."
9,우동명가기리야마본진,미소돈카츠.하프우동 콤보,"21,000원",서울 강남구 강남대로84길 23 한라클래식 지하1층,196830.5434,451819.6565,0507-1401-0068,,"초밥,  일식,  냉우동,  모밀,  우동집",재방문,49%,51,신분당강남역3번 출구에서217m,영업 종료11:30에 영업 시작11시 30분에 영업 시작,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","일본에서 1등 서기관으로 근무했던 외교관이 오픈한 일식 우동집. 우동도 맛있지만 스시와 뎀푸라, 돈카츠 등도 수준급. 도쿄에서 단골로 다니던 기리야마 우동집의 진한 국물 맛을 잊지 못해 직접 개업을 했다. 일본식 우동 이름이 낯설긴 하지만 메뉴 하단에 음식의 재료, 특징들이 자세하게 적혀있다. 점심에는 간단한 식사 및 직장인들을 위한 셋트메뉴가 주를 이루고, 저녁에는 식사메뉴 뿐 아니라, 술과 곁들일 수 있는 안주류, 사전 예약으로 운영되는 디너코스도 준비되어 있다. 사케소믈리에이기도 한 주인장이 추천하는 합리적인 가격의 사케리스트를 갖추고 있고 2012년 오픈 이래로 하루도 거르지 않고 청소관리하는 생맥주 맛도 일품이다."
10,우동명가기리야마본진,미소돈카츠.하프냉메밀소면 콤보,"21,000원",서울 강남구 강남대로84길 23 한라클래식 지하1층,196830.5434,451819.6565,0507-1401-0068,,"초밥,  일식,  냉우동,  모밀,  우동집",재방문,49%,51,신분당강남역3번 출구에서217m,영업 종료11:30에 영업 시작11시 30분에 영업 시작,"단체 이용 가능, 주차, 예약, 무선 인터넷, 남/녀 화장실 구분","일본에서 1등 서기관으로 근무했던 외교관이 오픈한 일식 우동집. 우동도 맛있지만 스시와 뎀푸라, 돈카츠 등도 수준급. 도쿄에서 단골로 다니던 기리야마 우동집의 진한 국물 맛을 잊지 못해 직접 개업을 했다. 일본식 우동 이름이 낯설긴 하지만 메뉴 하단에 음식의 재료, 특징들이 자세하게 적혀있다. 점심에는 간단한 식사 및 직장인들을 위한 셋트메뉴가 주를 이루고, 저녁에는 식사메뉴 뿐 아니라, 술과 곁들일 수 있는 안주류, 사전 예약으로 운영되는 디너코스도 준비되어 있다. 사케소믈리에이기도 한 주인장이 추천하는 합리적인 가격의 사케리스트를 갖추고 있고 2012년 오픈 이래로 하루도 거르지 않고 청소관리하는 생맥주 맛도 일품이다."
