store_id,store_namecol,store_menu,menu_price,store_address,store_x,store_y,store_tell,store_cate1,store_cate2,store_cate3,store_man,store_girl,store_near,store_open,store_info1,store_info2
1,니하오 마라탕 서대문역점,인기셀프마라샹궈(S(1인분)),"17,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
2,니하오 마라탕 서대문역점,인기셀프마라샹궈(M(1.5인분)),"30,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
3,니하오 마라탕 서대문역점,인기셀프마라샹궈(L(2인분)),"34,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
4,니하오 마라탕 서대문역점,인기셀프마라샹궈(왕특대(3인분)),"50,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
5,니하오 마라탕 서대문역점,인기셀프마라샹궈(왕왕특대(4인분)),"60,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
6,니하오 마라탕 서대문역점,꿔바로우(소),"12,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
7,니하오 마라탕 서대문역점,꿔바로우(중),"17,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
8,니하오 마라탕 서대문역점,볶음밥,"7,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
9,니하오 마라탕 서대문역점,멘보샤(+칠리소스)(6개),"8,900원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
10,니하오 마라탕 서대문역점,꽃빵튀김(6개),"6,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
11,니하오 마라탕 서대문역점,코카콜라355ml,"2,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
12,니하오 마라탕 서대문역점,제로콜라 355ml,"2,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
13,니하오 마라탕 서대문역점,스프라이트355ml,"2,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
14,니하오 마라탕 서대문역점,스프라이트 제로,"2,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
15,니하오 마라탕 서대문역점,환타 오렌지,"2,000원",서울 종로구 경교장1길 5 1층,196866.8376,451734.2278,02-6080-3355,,,,,,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,"단체 이용 가능, 포장, 배달, 예약, 무선 인터넷",마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
16,강릉엄지네꼬막집 서대문역점,꼬막비빔밥,"35,000원",서울 종로구 경교장길 35 1층 3140호,196992,451805,02-733-0880,,,,,,서대문역4번 출구에서229m,영업 중21:50에 라스트오더21시 50분에 라스트오더,"주차, 포장, 배달, 남/녀 화장실 구분","강릉 최고 '인생 꼬막 맛집'에 관심이 있다면? **** 가맹문의 : 1811-7896 *****  강릉 가면 꼭! 먹어야 한다는 '인생 꼬막 맛집'  줄을 서지 않으면 먹을 수 없는 강릉 맛집을 집 앞에서! 집에서 먹기 어려웠던 꼬막 요리를 간편하게 즐기세요 국내 최고의 갯벌 '여자만'에서 채취한 꼬막만을 사용하여 꼬막 비빔밥 한 접시에 푸짐하게 담아 드리고 있습니다. 꼬막 비빔밥의 원조의 품격으로 좋은 재료로 정성스럽게 준비한 한 끼를 대접하겠습니다. 메뉴 정보 (홀/포장) 꼬막비빔밥 : 35,000원 꼬막무침 : 33,000원 * 5년간 홀 판매가를 인상하지 않고 많은 분들께 맛있는 꼬막을 드리고자 노력하고 있습니다! 홈페이지 : https://umjine.com"
17,강릉엄지네꼬막집 서대문역점,꼬막무침,"33,000원",서울 종로구 경교장길 35 1층 3140호,196992,451805,02-733-0880,,,,,,서대문역4번 출구에서229m,영업 중21:50에 라스트오더21시 50분에 라스트오더,"주차, 포장, 배달, 남/녀 화장실 구분","강릉 최고 '인생 꼬막 맛집'에 관심이 있다면? **** 가맹문의 : 1811-7896 *****  강릉 가면 꼭! 먹어야 한다는 '인생 꼬막 맛집'  줄을 서지 않으면 먹을 수 없는 강릉 맛집을 집 앞에서! 집에서 먹기 어려웠던 꼬막 요리를 간편하게 즐기세요 국내 최고의 갯벌 '여자만'에서 채취한 꼬막만을 사용하여 꼬막 비빔밥 한 접시에 푸짐하게 담아 드리고 있습니다. 꼬막 비빔밥의 원조의 품격으로 좋은 재료로 정성스럽게 준비한 한 끼를 대접하겠습니다. 메뉴 정보 (홀/포장) 꼬막비빔밥 : 35,000원 꼬막무침 : 33,000원 * 5년간 홀 판매가를 인상하지 않고 많은 분들께 맛있는 꼬막을 드리고자 노력하고 있습니다! 홈페이지 : https://umjine.com"
