ㅁㄴ,메뉴,아이디,배당,양,text,text2
1,니하오 마라탕 서대문역점,인기셀프마라샹궈(S(1인분)),서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,단체 이용 가능 포장 배달 예약 무선 인터넷,마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
2,니하오 마라탕 서대문역점,인기셀프마라샹궈(M(1.5인분)),서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,단체 이용 가능 포장 배달 예약 무선 인터넷,마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
3,니하오 마라탕 서대문역점,인기셀프마라샹궈(L(2인분)),서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,단체 이용 가능 포장 배달 예약 무선 인터넷,마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
4,니하오 마라탕 서대문역점,인기셀프마라샹궈(왕특대(3인분)),서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,단체 이용 가능 포장 배달 예약 무선 인터넷,마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
5,니하오 마라탕 서대문역점,인기셀프마라샹궈(왕왕특대(4인분)),서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,단체 이용 가능 포장 배달 예약 무선 인터넷,마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
6,니하오 마라탕 서대문역점,꿔바로우(소),서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,단체 이용 가능 포장 배달 예약 무선 인터넷,마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
7,니하오 마라탕 서대문역점,꿔바로우(중),서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,단체 이용 가능 포장 배달 예약 무선 인터넷,마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
8,니하오 마라탕 서대문역점,볶음밥,서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,단체 이용 가능 포장 배달 예약 무선 인터넷,마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
9,니하오 마라탕 서대문역점,멘보샤(+칠리소스)(6개),서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,단체 이용 가능 포장 배달 예약 무선 인터넷,마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
10,니하오 마라탕 서대문역점,꽃빵튀김(6개),서대문역3번 출구에서256m,오늘 휴무매주 토요일 휴무매주 토요일 휴무,단체 이용 가능 포장 배달 예약 무선 인터넷,마라샹궈 맛집 서대문역 맛집 > 한국인이 직접 운영합니다. > 재료 하나하나 먹어보고 제일 맛 있는걸로 선택합니다! > 사훈: 청결!! 친절...
